label,text
Typhoid,Fever that won't go down with poor appetite nausea and abdominal tenderness. My family member had similar symptoms. it fluctuates throughout the day. This has been going on for 9 weeks now.
Jaundice,Dark brown urine with jaundiced skin and tenderness below right ribs. I noticed this around 2 days back. I tried home remedies but nothing helps.
Dengue,sudden high fever with muscle aches bone pain and skin rash. my appetite has decreased. i noticed this around 4 days back.
diabetes,Fatigue with polydipsia polyuria and recurrent infections. This has been going on for 7 weeks now.
Psoriasis,I noticed reddish spots with silvery buildup on my lower back and legs. I noticed this around 10 days back.
Pneumonia,Difficulty breathing with productive cough fever and sharp chest pain. It started 6 days ago and hasn't improved. My family member had similar symptoms.
Malaria,Recurring fever every two days with shaking chills and body aches. I've been feeling this way for about 4 days.
Common Cold,Runny nose sore throat and general feeling of being unwell. it's getting progressively worse. This has been going on for 9 weeks now.
allergy,I have watery eyes runny nose sneezing and itchy throat after exposure to dust. This is the first time I've had this. it's quite severe. It started 9 days ago and hasn't improved.
Dimorphic hemorrhoids(piles),pain during bowel movements with bright red blood and anal swelling. i've been more tired than usual.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss. it's quite severe.
Typhoid,week-long fever with coated tongue muscle pain and general malaise. it's moderate in intensity.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity.
peptic ulcer disease,Burning stomach pain that gets worse when hungry and better after eating. I'm quite worried about it. I've been feeling this way for about 2 days.
Arthritis,my knees and fingers are swollen tender and difficult to move. it fluctuates throughout the day. this has been going on for 11 weeks now.
Chicken pox,Widespread itchy rash with blisters crusting over and new ones appearing. it fluctuates throughout the day. My family member had similar symptoms. This has been going on for 9 weeks now.
diabetes,frequent urination especially at night with unquenchable thirst. i haven't been sleeping well because of this. it comes and goes.
drug reaction,i developed a rash and itching all over after starting a new medication. it started 14 days ago and hasn't improved.
Acne,Deep painful cysts under the skin with multiple blackheads on nose. it's moderate in intensity. This has been going on for 2 weeks now.
diabetes,Constant fatigue with increased hunger frequent urination and blurry vision. It started 14 days ago and hasn't improved. I also feel generally unwell.
Psoriasis,"i have red, scaly patches on my elbows and knees that are very itchy."
Acne,i have pimples and blackheads on my face chin and forehead. my family member had similar symptoms. it's quite severe. i've been feeling this way for about 14 days.
Jaundice,dark brown urine with jaundiced skin and tenderness below right ribs. i tried home remedies but nothing helps.
Common Cold,I have a runny nose sneezing sore throat and mild cough. This has been going on for 10 weeks now. It's affecting my daily routine. it's mild but persistent.
Fungal infection,my feet have peeling itchy skin between the toes with a bad smell. it's mild but persistent. this has been going on for 13 weeks now.
Migraine,intense pulsating pain in my head with aura visual disturbances and vomiting. i noticed this around 6 days back.
Jaundice,yellowing of eyes with fatigue nausea and abdominal pain on right side. it's quite severe.
Dengue,sudden high fever with muscle aches bone pain and skin rash. i also feel generally unwell. it fluctuates throughout the day.
Malaria,fever spikes with violent shivering followed by drenching sweats. it's getting progressively worse. i've been feeling this way for about 3 days.
Jaundice,Yellow discoloration of skin with itching and clay-colored stools. I've been feeling this way for about 1 days.
diabetes,tingling in hands and feet with excessive thirst and frequent urination. it fluctuates throughout the day. i noticed this around 10 days back. my family member had similar symptoms.
urinary tract infection,Pain during urination with strong smelling urine and pelvic pressure. the symptoms are worsening daily. It started 5 days ago and hasn't improved. My appetite has decreased.
Arthritis,bilateral joint swelling with tenderness and difficulty gripping objects. it started 11 days ago and hasn't improved. the symptoms are worsening daily. my appetite has decreased.
Jaundice,Yellowish tint to skin and whites of eyes with nausea and fatigue. My appetite has decreased.
Migraine,Severe throbbing headache on one side with nausea and sensitivity to light. It started 10 days ago and hasn't improved.
gastroesophageal reflux disease,acid reflux causing burning throat especially after heavy meals. this has been going on for 6 weeks now. i haven't been sleeping well because of this. it's moderate in intensity.
peptic ulcer disease,recurring gnawing abdominal pain with nausea and feeling of fullness. i've been feeling this way for about 14 days. it fluctuates throughout the day.
Pneumonia,Fever with productive cough breathlessness and pain on deep inspiration. It started 4 days ago and hasn't improved. I've been more tired than usual.
Arthritis,bilateral joint swelling with tenderness and difficulty gripping objects. this has been going on for 1 weeks now.
allergy,Seasonal symptoms with runny nose itchy eyes and constant sneezing. the symptoms are worsening daily. It started 13 days ago and hasn't improved. I also feel generally unwell.
Impetigo,blisters that ooze and form yellowish brown scabs near the mouth. it's moderate in intensity.
gastroesophageal reflux disease,Burning sensation in my chest after eating with acid taste in mouth. My family member had similar symptoms. I noticed this around 14 days back.
Impetigo,my child has honey-colored crusty sores spreading on the face and hands. i'm quite worried about it.
Varicose veins,Legs feel heavy and tired with visible knotted veins and skin discoloration. it's moderate in intensity.
Typhoid,prolonged fever with stomach pain diarrhea and loss of appetite. it comes and goes. i've been more tired than usual. it started 6 days ago and hasn't improved.
Acne,persistent acne on face and back with scarring from old breakouts. it started 14 days ago and hasn't improved. i tried home remedies but nothing helps. the symptoms are worsening daily.
Migraine,debilitating headache with light and sound sensitivity lasting hours. it's getting progressively worse. it started 14 days ago and hasn't improved.
Acne,Hormonal breakouts along jawline with deep nodular lesions.
Typhoid,Week-long fever with coated tongue muscle pain and general malaise. This has been going on for 10 weeks now.
Cervical spondylosis,pain in my neck spreading to arms with occasional muscle weakness. it fluctuates throughout the day. my family member had similar symptoms.
Pneumonia,Sharp pain in chest when coughing high temperature and extreme fatigue. it's moderate in intensity. I noticed this around 10 days back.
allergy,itchy red welts on skin with swelling and difficulty breathing. this has been going on for 2 weeks now. it's moderate in intensity.
Arthritis,Aching joints with swelling and warmth especially in wrists and ankles. it comes and goes. I've been feeling this way for about 6 days.
Malaria,Periodic high temperature with headache and enlarged spleen area pain.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity. I've been more tired than usual. It started 14 days ago and hasn't improved. it's moderate in intensity.
Migraine,Severe head pain that worsens with movement and accompanied by aura. This is the first time I've had this. it's moderate in intensity.
Fungal infection,itchy moist area in skin folds with reddish discoloration. it's mild but persistent.
Common Cold,Sneezing frequently with nasal congestion and slight body aches. This is the first time I've had this. This has been going on for 13 weeks now.
Psoriasis,my nails have become pitted and ridged and i have plaques on my arms. it started 11 days ago and hasn't improved. i haven't been sleeping well because of this.
Common Cold,Nasal congestion watery eyes and occasional sneezing fits. it's mild but persistent.
peptic ulcer disease,Recurring gnawing abdominal pain with nausea and feeling of fullness. it's quite severe. I noticed this around 5 days back. My family member had similar symptoms.
Dimorphic hemorrhoids(piles),Pain during bowel movements with bright red blood and anal swelling. I noticed this around 13 days back. I haven't been sleeping well because of this.
Cervical spondylosis,Chronic neck pain with numbness and tingling in my fingers. I've been feeling this way for about 4 days. it's mild but persistent.
Cervical spondylosis,stiff neck with grinding sensation and headaches starting from the back of head. it's moderate in intensity. this has been going on for 9 weeks now.
Chicken pox,small fluid-filled blisters appeared on my chest face and back with itching. i've been feeling this way for about 6 days. it fluctuates throughout the day.
Dimorphic hemorrhoids(piles),Itching and discomfort around the rectum with blood on toilet paper. I noticed this around 13 days back. it's quite severe.
Typhoid,i have sustained high fever for over a week with severe headache and fatigue. it's moderate in intensity. this is the first time i've had this.
urinary tract infection,constant urge to urinate with burning sensation and mild fever. my appetite has decreased. i noticed this around 5 days back.
Arthritis,aching joints with swelling and warmth especially in wrists and ankles. this has been going on for 10 weeks now. it's quite severe.
Varicose veins,i get heavy aching legs especially after standing for long periods.
diabetes,Unexplained weight loss with constant hunger tiredness and blurred vision. I noticed this around 8 days back. the symptoms are worsening daily.
Chicken pox,my child has itchy vesicles on the trunk and face with low grade fever.
gastroesophageal reflux disease,Burning in upper abdomen and chest with acidic taste especially at night. it's moderate in intensity. I also feel generally unwell. It started 9 days ago and hasn't improved.
allergy,allergic reaction with swollen lips itching and red blotchy skin. i noticed this around 6 days back. it fluctuates throughout the day.
Dengue,high fever for three days with extreme fatigue joint pain and nausea. it comes and goes. i've been feeling this way for about 10 days.
Varicose veins,I get heavy aching legs especially after standing for long periods. I haven't been sleeping well because of this. it's moderate in intensity.
Typhoid,Prolonged fever with stomach pain diarrhea and loss of appetite. I've been feeling this way for about 6 days.
Fungal infection,itchy flaky patches between my toes with cracking and redness. i noticed this around 1 days back. it's quite severe.
peptic ulcer disease,Burning pain between meals with bloating belching and poor appetite. This has been going on for 10 weeks now. it's moderate in intensity.
Fungal infection,circular rash with clear center and red scaly border on my torso. i tried home remedies but nothing helps. it fluctuates throughout the day.
gastroesophageal reflux disease,burning sensation in my chest after eating with acid taste in mouth. this has been going on for 7 weeks now.
Dimorphic hemorrhoids(piles),Burning sensation with blood in stool and tender lumps near rectum. I've been feeling this way for about 3 days. it's getting progressively worse.
Hypertension,feeling of pressure in my head with fatigue and elevated bp readings. this is the first time i've had this. i've been feeling this way for about 11 days.
urinary tract infection,Constant urge to urinate with burning sensation and mild fever. the symptoms are worsening daily.
Dimorphic hemorrhoids(piles),itching and discomfort around the rectum with blood on toilet paper.
Fungal infection,My feet have peeling itchy skin between the toes with a bad smell. it's mild but persistent. This has been going on for 12 weeks now.
allergy,Skin rash with hives itching and swelling after eating certain foods. This is the first time I've had this. It started 6 days ago and hasn't improved.
Chicken pox,My child has itchy vesicles on the trunk and face with low grade fever. My family member had similar symptoms. This has been going on for 7 weeks now. the symptoms are worsening daily.
Psoriasis,My nails have become pitted and ridged and I have plaques on my arms. This has been going on for 3 weeks now. I had something similar years ago.
Arthritis,joint pain and stiffness that gets worse with cold weather and inactivity. it's mild but persistent.
Chicken pox,rash that started as red spots and turned into blisters spreading everywhere. it's moderate in intensity. i'm quite worried about it.
peptic ulcer disease,Gnawing pain in upper abdomen with bloating nausea and vomiting. My appetite has decreased. I noticed this around 11 days back.
Chicken pox,my child has itchy vesicles on the trunk and face with low grade fever. it's moderate in intensity.
drug reaction,skin eruption with fever and swollen lymph nodes after taking antibiotics. the symptoms are worsening daily. it started 5 days ago and hasn't improved.
Chicken pox,Red bumps that turned into tiny blisters with clear fluid and mild fever. This is the first time I've had this. It started 12 days ago and hasn't improved. the symptoms are worsening daily.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity.
allergy,skin rash with hives itching and swelling after eating certain foods. this has been going on for 9 weeks now. it's quite severe.
Migraine,unilateral throbbing headache with nausea vomiting and phonophobia.
Dimorphic hemorrhoids(piles),rectal bleeding with itchy swollen tissue around the anal area. i noticed this around 5 days back.
Varicose veins,bulging blue purple veins on my calves with occasional cramping at night. i've been feeling this way for about 9 days. it's affecting my daily routine.
allergy,skin rash with hives itching and swelling after eating certain foods. it's getting progressively worse.
Acne,frequent breakouts with inflamed pimples and oily skin on my face. this has been going on for 6 weeks now. the symptoms are worsening daily.
Impetigo,spreading sores with yellow scabs on face that are mildly itchy. it's getting progressively worse. i've been feeling this way for about 2 days.
Impetigo,red painful sores that became crusty and are spreading to other areas. this is the first time i've had this. it's getting progressively worse.
urinary tract infection,Stinging pain when peeing with dark cloudy urine and back pain. it fluctuates throughout the day. I had something similar years ago.
Typhoid,prolonged fever with stomach pain diarrhea and loss of appetite. i've been feeling this way for about 8 days.
diabetes,Tingling in hands and feet with excessive thirst and frequent urination. I've been feeling this way for about 13 days.
Migraine,pounding headache with extreme light sensitivity and need to lie in dark room. it started 9 days ago and hasn't improved.
urinary tract infection,stinging pain when peeing with dark cloudy urine and back pain. i noticed this around 11 days back.
Chicken pox,fever followed by intensely itchy rash with small blisters all over body. it's moderate in intensity. i also feel generally unwell. i've been feeling this way for about 7 days.
Psoriasis,i noticed reddish spots with silvery buildup on my lower back and legs. it's quite severe.
Typhoid,i have sustained high fever for over a week with severe headache and fatigue. i've been feeling this way for about 3 days.
Jaundice,yellowish tint to skin and whites of eyes with nausea and fatigue. it started 14 days ago and hasn't improved.
Acne,I have pimples and blackheads on my face chin and forehead. I've been more tired than usual.
Hypertension,Persistent headaches with occasional nosebleeds and blurred vision. it's getting progressively worse. It started 2 days ago and hasn't improved.
gastroesophageal reflux disease,chest pain after meals with acid coming up into throat. it started 5 days ago and hasn't improved. the symptoms are worsening daily. i also feel generally unwell.
diabetes,unexplained weight loss with constant hunger tiredness and blurred vision. i've been more tired than usual. it fluctuates throughout the day.
Dimorphic hemorrhoids(piles),itching and discomfort around the rectum with blood on toilet paper. it's getting progressively worse. this has been going on for 11 weeks now.
Dimorphic hemorrhoids(piles),rectal bleeding with itchy swollen tissue around the anal area. it comes and goes. i noticed this around 11 days back. this is the first time i've had this.
Psoriasis,itchy dry patches on my torso with shedding skin flakes for weeks. it comes and goes. this has been going on for 12 weeks now.
Hypertension,Chronic headaches with face flushing and anxiety about elevated pressure. the symptoms are worsening daily.
Hypertension,persistent headaches with occasional nosebleeds and blurred vision. i had something similar years ago.
Cervical spondylosis,neck pain and stiffness with pain radiating down to my shoulders and arms. this has been going on for 7 weeks now. it fluctuates throughout the day.
allergy,sneezing fits with nasal congestion itchy eyes triggered by pollen. i noticed this around 13 days back. it's mild but persistent.
Common Cold,persistent sneezing with congestion and post-nasal drip. i've been feeling this way for about 10 days. it's affecting my daily routine.
Jaundice,Dark brown urine with jaundiced skin and tenderness below right ribs. it's quite severe. I noticed this around 8 days back. I haven't been sleeping well because of this.
drug reaction,skin eruption with fever and swollen lymph nodes after taking antibiotics. it's moderate in intensity. i noticed this around 5 days back. i'm quite worried about it.
Common Cold,Stuffy nose with clear watery discharge and scratchy throat. I've been feeling this way for about 1 days.
Dimorphic hemorrhoids(piles),swollen painful hemorrhoids that protrude during straining. it's getting progressively worse. i'm quite worried about it. i've been feeling this way for about 14 days.
Dengue,Acute fever headache myalgia and petechial rash on arms. it fluctuates throughout the day. I'm quite worried about it.
Cervical spondylosis,Stiff neck with grinding sensation and headaches starting from the back of head. This is the first time I've had this. This has been going on for 5 weeks now.
allergy,sneezing fits with nasal congestion itchy eyes triggered by pollen. it's getting progressively worse. it started 8 days ago and hasn't improved.
Pneumonia,I can barely breathe with fever chills and coughing up thick mucus. I've been feeling this way for about 3 days. I've been more tired than usual.
Common Cold,sneezing frequently with nasal congestion and slight body aches. it's quite severe. it started 4 days ago and hasn't improved.
Migraine,Severe head pain that worsens with movement and accompanied by aura. It started 13 days ago and hasn't improved.
Chicken pox,Clusters of blisters at different stages with extreme itchiness and tiredness. My appetite has decreased. I've been feeling this way for about 6 days.
Psoriasis,My skin has thick silvery scales and dry cracked areas that sometimes bleed. it's mild but persistent.
urinary tract infection,Constant urge to urinate with burning sensation and mild fever. This is the first time I've had this. I've been feeling this way for about 1 days.
Jaundice,dark brown urine with jaundiced skin and tenderness below right ribs. it started 9 days ago and hasn't improved. i've been more tired than usual.
Acne,persistent acne on face and back with scarring from old breakouts. this is the first time i've had this. it's moderate in intensity. it started 14 days ago and hasn't improved.
Varicose veins,swollen veins on my lower legs with itching and a burning sensation. it's mild but persistent.
Dengue,Fever with intense joint pain nausea vomiting and fatigue. it fluctuates throughout the day.
peptic ulcer disease,upper stomach pain worse on empty stomach with dark tarry stools. i noticed this around 4 days back. it's mild but persistent.
Dengue,high temperature with retro-orbital pain and bleeding gums. i've been feeling this way for about 4 days. the symptoms are worsening daily.
Jaundice,yellowish tint to skin and whites of eyes with nausea and fatigue. it started 6 days ago and hasn't improved. it's affecting my daily routine. it's moderate in intensity.
Common Cold,i have a runny nose sneezing sore throat and mild cough. it started 10 days ago and hasn't improved. this is the first time i've had this. it fluctuates throughout the day.
Malaria,high fever alternating with chills and sweats with body pain and nausea. i'm quite worried about it. this has been going on for 4 weeks now. it's getting progressively worse.
gastroesophageal reflux disease,chest pain after meals with acid coming up into throat. i've been more tired than usual.
Malaria,high fever with rigors profuse sweating and extreme fatigue. i noticed this around 5 days back. this is the first time i've had this.
Migraine,pounding headache with extreme light sensitivity and need to lie in dark room. i've been feeling this way for about 8 days. it's getting progressively worse.
Jaundice,Yellowing of eyes with fatigue nausea and abdominal pain on right side. I had something similar years ago. it's mild but persistent. It started 9 days ago and hasn't improved.
Arthritis,joint pain and stiffness that gets worse with cold weather and inactivity. i tried home remedies but nothing helps. i noticed this around 6 days back. it's quite severe.
Malaria,Fever spikes with violent shivering followed by drenching sweats. This has been going on for 10 weeks now.
Malaria,Cyclical fever pattern with intense chills sweating and weakness. it comes and goes.
Dimorphic hemorrhoids(piles),I have painful swelling near my anus with bleeding during bowel movements. It started 13 days ago and hasn't improved.
Common Cold,mild sore throat with runny nose and feeling a bit tired. i noticed this around 9 days back.
Hypertension,i have frequent headaches dizziness and my blood pressure readings are high. i'm quite worried about it.
urinary tract infection,constant urge to urinate with burning sensation and mild fever. i'm quite worried about it.
allergy,I have watery eyes runny nose sneezing and itchy throat after exposure to dust. I tried home remedies but nothing helps. it's getting progressively worse.
Common Cold,Sneezing frequently with nasal congestion and slight body aches. It started 8 days ago and hasn't improved. I also feel generally unwell. the symptoms are worsening daily.
Pneumonia,severe cough with greenish phlegm high fever and chest pain when breathing. it's moderate in intensity. i noticed this around 11 days back. it's affecting my daily routine.
Varicose veins,I get heavy aching legs especially after standing for long periods. It started 6 days ago and hasn't improved.
peptic ulcer disease,burning stomach pain that gets worse when hungry and better after eating. this has been going on for 2 weeks now. i'm quite worried about it. it fluctuates throughout the day.
Malaria,Periodic high temperature with headache and enlarged spleen area pain. It started 11 days ago and hasn't improved.
Arthritis,Joint pain and stiffness that gets worse with cold weather and inactivity. This has been going on for 3 weeks now.
urinary tract infection,frequent painful urination with foul smelling cloudy urine. it's quite severe. this has been going on for 9 weeks now.
Bronchial Asthma,Shortness of breath with chest constriction and persistent dry cough. the symptoms are worsening daily.
Typhoid,week-long fever with coated tongue muscle pain and general malaise. it's mild but persistent. i've been more tired than usual.
Pneumonia,persistent cough with rust-colored sputum fever and shortness of breath. i noticed this around 13 days back.
Bronchial Asthma,my breathing gets worse with dust and cold air with chest tightness. i've been feeling this way for about 7 days. it's quite severe.
Bronchial Asthma,I have wheezing and difficulty breathing especially at night and during exercise. My family member had similar symptoms. I noticed this around 11 days back.
Varicose veins,my legs cramp at night and twisted veins are becoming more prominent. i had something similar years ago. it started 2 days ago and hasn't improved. it fluctuates throughout the day.
peptic ulcer disease,Epigastric pain that wakes me up at night with acid reflux. This has been going on for 10 weeks now.
Dimorphic hemorrhoids(piles),Swollen painful hemorrhoids that protrude during straining. it comes and goes. I noticed this around 7 days back.
Malaria,High fever with rigors profuse sweating and extreme fatigue. I noticed this around 5 days back. it's moderate in intensity.
urinary tract infection,Burning sensation when urinating with frequent urge to go and cloudy urine. My family member had similar symptoms. I've been feeling this way for about 1 days. it's mild but persistent.
allergy,Nasal congestion with itchy watery eyes and scratchy throat from pet dander. This has been going on for 9 weeks now. it comes and goes.
Psoriasis,My nails have become pitted and ridged and I have plaques on my arms. It started 10 days ago and hasn't improved. I tried home remedies but nothing helps. it fluctuates throughout the day.
Common Cold,persistent sneezing with congestion and post-nasal drip. it's getting progressively worse. i've been more tired than usual.
Cervical spondylosis,Pain in my neck spreading to arms with occasional muscle weakness. it comes and goes. I noticed this around 2 days back.
Acne,deep painful cysts under the skin with multiple blackheads on nose.
Psoriasis,Itchy dry patches on my torso with shedding skin flakes for weeks. I'm quite worried about it. the symptoms are worsening daily. This has been going on for 14 weeks now.
Chicken pox,Widespread itchy rash with blisters crusting over and new ones appearing. it's getting progressively worse. I also feel generally unwell.
Pneumonia,high fever shaking chills and cough producing thick yellow mucus. it's getting progressively worse. i noticed this around 5 days back. my family member had similar symptoms.
Acne,Painful red bumps and whiteheads breaking out on my cheeks and jawline. This has been going on for 8 weeks now. it comes and goes.
Dengue,Fever with intense joint pain nausea vomiting and fatigue. I had something similar years ago. it's mild but persistent. I've been feeling this way for about 5 days.
Jaundice,Yellowing of eyes with fatigue nausea and abdominal pain on right side. It started 5 days ago and hasn't improved. it's moderate in intensity.
Pneumonia,Sharp pain in chest when coughing high temperature and extreme fatigue. It started 8 days ago and hasn't improved.
Hypertension,I have frequent headaches dizziness and my blood pressure readings are high. I've been feeling this way for about 1 days.
Arthritis,joint pain and stiffness that gets worse with cold weather and inactivity. this has been going on for 1 weeks now. i had something similar years ago. it fluctuates throughout the day.
peptic ulcer disease,Burning stomach pain that gets worse when hungry and better after eating. I noticed this around 3 days back.
Hypertension,Feeling of pressure in my head with fatigue and elevated BP readings. the symptoms are worsening daily. I noticed this around 11 days back.
Hypertension,My doctor said my blood pressure is very high and I get headaches daily. It started 4 days ago and hasn't improved.
drug reaction,allergic skin reaction with blistering after taking painkillers. this has been going on for 2 weeks now. the symptoms are worsening daily.
diabetes,Increased appetite with weight loss blurry vision and slow wound healing. it's moderate in intensity.
gastroesophageal reflux disease,frequent heartburn with belching bloating and chest discomfort. i've been feeling this way for about 5 days. it fluctuates throughout the day.
gastroesophageal reflux disease,heartburn that gets worse when lying down with regurgitation of food. it comes and goes. i noticed this around 6 days back.
Dengue,severe fever with break-bone pain rash and swollen lymph nodes. it's affecting my daily routine. it's mild but persistent. i've been feeling this way for about 5 days.
Fungal infection,Circular rash with clear center and red scaly border on my torso. it's quite severe. I'm quite worried about it.
Psoriasis,burning sensation on scaly red patches near my hairline and behind ears. the symptoms are worsening daily. this has been going on for 14 weeks now. i also feel generally unwell.
urinary tract infection,pain during urination with strong smelling urine and pelvic pressure. i've been feeling this way for about 3 days.
Fungal infection,red scaly circular lesions on my arms that spread outward. it comes and goes.
Bronchial Asthma,Chronic cough at night with wheezing and feeling of suffocation. it comes and goes. I've been feeling this way for about 9 days. I've been more tired than usual.
drug reaction,hives and swelling with itching that started after medication change. this has been going on for 4 weeks now.
Cervical spondylosis,Neck stiffness with reduced mobility and tingling in both hands. This has been going on for 5 weeks now. it fluctuates throughout the day.
Impetigo,blisters that ooze and form yellowish brown scabs near the mouth. my appetite has decreased. it's moderate in intensity.
Chicken pox,My child has itchy vesicles on the trunk and face with low grade fever. My family member had similar symptoms. This has been going on for 8 weeks now. it's getting progressively worse.
Varicose veins,My legs have swollen twisted veins that are very visible and painful. it's getting progressively worse.
Arthritis,Swollen painful joints in my hands and knees with reduced range of motion. It's affecting my daily routine. I've been feeling this way for about 7 days.
Psoriasis,My skin has thick silvery scales and dry cracked areas that sometimes bleed. This has been going on for 13 weeks now. My appetite has decreased. it's moderate in intensity.
Common Cold,mild sore throat with runny nose and feeling a bit tired. it's quite severe.
Migraine,severe head pain that worsens with movement and accompanied by aura. i noticed this around 4 days back. this is the first time i've had this. it fluctuates throughout the day.
drug reaction,widespread rash with peeling skin and mouth ulcers from a drug. it's getting progressively worse. i also feel generally unwell. this has been going on for 4 weeks now.
peptic ulcer disease,Burning abdominal pain with loss of appetite and unintentional weight loss. it's quite severe. It started 3 days ago and hasn't improved. I haven't been sleeping well because of this.
Bronchial Asthma,Recurrent episodes of breathlessness with dry cough and wheezing. This is the first time I've had this. it's moderate in intensity. I've been feeling this way for about 8 days.
gastroesophageal reflux disease,burning sensation in my chest after eating with acid taste in mouth. it's getting progressively worse. it started 12 days ago and hasn't improved.
Fungal infection,itchy flaky patches between my toes with cracking and redness.
Pneumonia,high fever shaking chills and cough producing thick yellow mucus. the symptoms are worsening daily.
allergy,allergic reaction with swollen lips itching and red blotchy skin. i tried home remedies but nothing helps. it started 11 days ago and hasn't improved. it's quite severe.
Impetigo,my child has honey-colored crusty sores spreading on the face and hands. it's moderate in intensity. i noticed this around 12 days back.
Impetigo,Red painful sores that became crusty and are spreading to other areas. This has been going on for 2 weeks now. I'm quite worried about it. it's mild but persistent.
urinary tract infection,i need to urinate constantly but only small amounts come out with burning. it comes and goes.
urinary tract infection,Burning urination with blood in urine and lower abdominal pain. It started 12 days ago and hasn't improved.
Varicose veins,My ankles swell by evening and I can see enlarged veins on my thighs. This has been going on for 2 weeks now. it's getting progressively worse. I haven't been sleeping well because of this.
urinary tract infection,burning urination with blood in urine and lower abdominal pain. it started 10 days ago and hasn't improved. i haven't been sleeping well because of this.
Varicose veins,I have throbbing pain in my legs with spider veins spreading on my shins. it fluctuates throughout the day. I noticed this around 10 days back.
Malaria,recurring fever every two days with shaking chills and body aches. i noticed this around 8 days back. it's moderate in intensity.
Dengue,i feel terrible with high fever body aches and a flat red rash appearing. i tried home remedies but nothing helps. it comes and goes. i've been feeling this way for about 3 days.
Hypertension,persistent headaches with occasional nosebleeds and blurred vision. this has been going on for 3 weeks now.
Varicose veins,My legs have swollen twisted veins that are very visible and painful. it's mild but persistent. I tried home remedies but nothing helps.
Pneumonia,sharp pain in chest when coughing high temperature and extreme fatigue. this has been going on for 12 weeks now. it's getting progressively worse.
Cervical spondylosis,neck pain and stiffness with pain radiating down to my shoulders and arms. i've been feeling this way for about 9 days.
Chicken pox,i have itchy red blisters all over my body with mild fever. i've been feeling this way for about 11 days. it's mild but persistent.
Varicose veins,swollen veins on my lower legs with itching and a burning sensation. it fluctuates throughout the day. it started 9 days ago and hasn't improved. i had something similar years ago.
gastroesophageal reflux disease,chronic chest burning with sour taste and difficulty swallowing. it fluctuates throughout the day.
Acne,deep painful cysts under the skin with multiple blackheads on nose. it's affecting my daily routine. it started 4 days ago and hasn't improved.
Pneumonia,I can barely breathe with fever chills and coughing up thick mucus. it fluctuates throughout the day.
Migraine,Recurring severe headaches preceded by flashing lights and numbness. it's quite severe. This has been going on for 12 weeks now.
Chicken pox,red bumps that turned into tiny blisters with clear fluid and mild fever. it started 4 days ago and hasn't improved. i've been more tired than usual. it's getting progressively worse.
Dengue,Sudden high fever with muscle aches bone pain and skin rash. it's mild but persistent. I've been feeling this way for about 2 days. I've been more tired than usual.
Impetigo,my child has honey-colored crusty sores spreading on the face and hands. it started 10 days ago and hasn't improved. it comes and goes. i had something similar years ago.
Dimorphic hemorrhoids(piles),Burning sensation with blood in stool and tender lumps near rectum. I've been feeling this way for about 5 days.
diabetes,fatigue with polydipsia polyuria and recurrent infections. this has been going on for 9 weeks now. it's mild but persistent.
Acne,Frequent breakouts with inflamed pimples and oily skin on my face. It started 1 days ago and hasn't improved. This is the first time I've had this.
Typhoid,High grade fever with headache lethargy and greenish loose stools. It started 11 days ago and hasn't improved.
Bronchial Asthma,I have wheezing and difficulty breathing especially at night and during exercise. This has been going on for 4 weeks now. it comes and goes.
peptic ulcer disease,Upper stomach pain worse on empty stomach with dark tarry stools. It started 1 days ago and hasn't improved. it's mild but persistent.
Cervical spondylosis,Stiff neck with grinding sensation and headaches starting from the back of head. it's getting progressively worse.
Arthritis,Aching joints with swelling and warmth especially in wrists and ankles. It started 3 days ago and hasn't improved.
Bronchial Asthma,Shortness of breath with chest constriction and persistent dry cough. This is the first time I've had this.
Cervical spondylosis,pain in my neck spreading to arms with occasional muscle weakness. i also feel generally unwell. it's getting progressively worse. this has been going on for 6 weeks now.
gastroesophageal reflux disease,Chest pain after meals with acid coming up into throat. I've been more tired than usual. it's getting progressively worse.
Malaria,I have cyclical high fever with chills sweating and severe headache. This has been going on for 10 weeks now. the symptoms are worsening daily.
Typhoid,fever that won't go down with poor appetite nausea and abdominal tenderness. i've been more tired than usual.
Typhoid,I have sustained high fever for over a week with severe headache and fatigue. it fluctuates throughout the day. I've been more tired than usual.
Dimorphic hemorrhoids(piles),Itching and discomfort around the rectum with blood on toilet paper. This is the first time I've had this. I noticed this around 5 days back.
Migraine,severe throbbing headache on one side with nausea and sensitivity to light. i've been feeling this way for about 1 days.
allergy,Sneezing fits with nasal congestion itchy eyes triggered by pollen. My family member had similar symptoms. It started 3 days ago and hasn't improved.
Varicose veins,i get heavy aching legs especially after standing for long periods. i've been feeling this way for about 10 days. it's quite severe.
Bronchial Asthma,wheezing attacks with rapid breathing and inability to catch my breath. i also feel generally unwell. the symptoms are worsening daily. it started 14 days ago and hasn't improved.
Cervical spondylosis,Neck pain with dizziness and radiating arm pain with numbness. This is the first time I've had this. It started 7 days ago and hasn't improved.
allergy,Nasal congestion with itchy watery eyes and scratchy throat from pet dander. it's getting progressively worse. I tried home remedies but nothing helps.
